,hq,lq,organ,split
0,train_datasets/thyroid/high_quality/0001.png,train_datasets/thyroid/low_quality/0001.png,thyroid,0
1,train_datasets/thyroid/high_quality/0002.png,train_datasets/thyroid/low_quality/0002.png,thyroid,0
2,train_datasets/thyroid/high_quality/0003.png,train_datasets/thyroid/low_quality/0003.png,thyroid,0
3,train_datasets/thyroid/high_quality/0004.png,train_datasets/thyroid/low_quality/0004.png,thyroid,0
4,train_datasets/thyroid/high_quality/0008.png,train_datasets/thyroid/low_quality/0008.png,thyroid,0
5,train_datasets/thyroid/high_quality/0009.png,train_datasets/thyroid/low_quality/0009.png,thyroid,0
6,train_datasets/thyroid/high_quality/0010.png,train_datasets/thyroid/low_quality/0010.png,thyroid,0
7,train_datasets/thyroid/high_quality/0011.png,train_datasets/thyroid/low_quality/0011.png,thyroid,0
8,train_datasets/thyroid/high_quality/0012.png,train_datasets/thyroid/low_quality/0012.png,thyroid,0
9,train_datasets/thyroid/high_quality/0013.png,train_datasets/thyroid/low_quality/0013.png,thyroid,0
10,train_datasets/thyroid/high_quality/0014.png,train_datasets/thyroid/low_quality/0014.png,thyroid,0
11,train_datasets/thyroid/high_quality/0016.png,train_datasets/thyroid/low_quality/0016.png,thyroid,0
12,train_datasets/thyroid/high_quality/0019.png,train_datasets/thyroid/low_quality/0019.png,thyroid,0
13,train_datasets/thyroid/high_quality/0020.png,train_datasets/thyroid/low_quality/0020.png,thyroid,0
14,train_datasets/thyroid/high_quality/0023.png,train_datasets/thyroid/low_quality/0023.png,thyroid,0
15,train_datasets/thyroid/high_quality/0025.png,train_datasets/thyroid/low_quality/0025.png,thyroid,0
16,train_datasets/thyroid/high_quality/0028.png,train_datasets/thyroid/low_quality/0028.png,thyroid,0
17,train_datasets/thyroid/high_quality/0029.png,train_datasets/thyroid/low_quality/0029.png,thyroid,0
18,train_datasets/thyroid/high_quality/0030.png,train_datasets/thyroid/low_quality/0030.png,thyroid,0
19,train_datasets/thyroid/high_quality/0031.png,train_datasets/thyroid/low_quality/0031.png,thyroid,0
20,train_datasets/thyroid/high_quality/0032.png,train_datasets/thyroid/low_quality/0032.png,thyroid,0
21,train_datasets/thyroid/high_quality/0033.png,train_datasets/thyroid/low_quality/0033.png,thyroid,0
22,train_datasets/thyroid/high_quality/0034.png,train_datasets/thyroid/low_quality/0034.png,thyroid,0
23,train_datasets/thyroid/high_quality/0035.png,train_datasets/thyroid/low_quality/0035.png,thyroid,0
24,train_datasets/thyroid/high_quality/0037.png,train_datasets/thyroid/low_quality/0037.png,thyroid,0
25,train_datasets/thyroid/high_quality/0038.png,train_datasets/thyroid/low_quality/0038.png,thyroid,0
26,train_datasets/thyroid/high_quality/0039.png,train_datasets/thyroid/low_quality/0039.png,thyroid,0
27,train_datasets/thyroid/high_quality/0044.png,train_datasets/thyroid/low_quality/0044.png,thyroid,0
28,train_datasets/thyroid/high_quality/0045.png,train_datasets/thyroid/low_quality/0045.png,thyroid,0
29,train_datasets/thyroid/high_quality/0047.png,train_datasets/thyroid/low_quality/0047.png,thyroid,0
30,train_datasets/thyroid/high_quality/0048.png,train_datasets/thyroid/low_quality/0048.png,thyroid,0
31,train_datasets/thyroid/high_quality/0050.png,train_datasets/thyroid/low_quality/0050.png,thyroid,0
32,train_datasets/thyroid/high_quality/0051.png,train_datasets/thyroid/low_quality/0051.png,thyroid,0
33,train_datasets/thyroid/high_quality/0053.png,train_datasets/thyroid/low_quality/0053.png,thyroid,0
34,train_datasets/thyroid/high_quality/0055.png,train_datasets/thyroid/low_quality/0055.png,thyroid,0
35,train_datasets/thyroid/high_quality/0056.png,train_datasets/thyroid/low_quality/0056.png,thyroid,0
36,train_datasets/thyroid/high_quality/0057.png,train_datasets/thyroid/low_quality/0057.png,thyroid,0
37,train_datasets/thyroid/high_quality/0059.png,train_datasets/thyroid/low_quality/0059.png,thyroid,0
38,train_datasets/thyroid/high_quality/0062.png,train_datasets/thyroid/low_quality/0062.png,thyroid,0
39,train_datasets/thyroid/high_quality/0064.png,train_datasets/thyroid/low_quality/0064.png,thyroid,0
40,train_datasets/thyroid/high_quality/0065.png,train_datasets/thyroid/low_quality/0065.png,thyroid,0
41,train_datasets/thyroid/high_quality/0066.png,train_datasets/thyroid/low_quality/0066.png,thyroid,0
42,train_datasets/thyroid/high_quality/0068.png,train_datasets/thyroid/low_quality/0068.png,thyroid,0
43,train_datasets/thyroid/high_quality/0069.png,train_datasets/thyroid/low_quality/0069.png,thyroid,0
44,train_datasets/thyroid/high_quality/0070.png,train_datasets/thyroid/low_quality/0070.png,thyroid,0
45,train_datasets/thyroid/high_quality/0072.png,train_datasets/thyroid/low_quality/0072.png,thyroid,0
46,train_datasets/thyroid/high_quality/0074.png,train_datasets/thyroid/low_quality/0074.png,thyroid,0
47,train_datasets/thyroid/high_quality/0075.png,train_datasets/thyroid/low_quality/0075.png,thyroid,0
48,train_datasets/thyroid/high_quality/0076.png,train_datasets/thyroid/low_quality/0076.png,thyroid,0
49,train_datasets/thyroid/high_quality/0077.png,train_datasets/thyroid/low_quality/0077.png,thyroid,0
50,train_datasets/thyroid/high_quality/0080.png,train_datasets/thyroid/low_quality/0080.png,thyroid,0
51,train_datasets/thyroid/high_quality/0081.png,train_datasets/thyroid/low_quality/0081.png,thyroid,0
52,train_datasets/thyroid/high_quality/0082.png,train_datasets/thyroid/low_quality/0082.png,thyroid,0
53,train_datasets/thyroid/high_quality/0088.png,train_datasets/thyroid/low_quality/0088.png,thyroid,0
54,train_datasets/thyroid/high_quality/0089.png,train_datasets/thyroid/low_quality/0089.png,thyroid,0
55,train_datasets/thyroid/high_quality/0092.png,train_datasets/thyroid/low_quality/0092.png,thyroid,0
56,train_datasets/thyroid/high_quality/0094.png,train_datasets/thyroid/low_quality/0094.png,thyroid,0
57,train_datasets/thyroid/high_quality/0096.png,train_datasets/thyroid/low_quality/0096.png,thyroid,1
